frame.number|frame.time|usb.src|usb.dst|usb.transfer_type|usb.endpoint_address|usb.data_len|usb.bmRequestType|usb.setup.bRequest|usb.setup.wValue|usb.setup.wIndex|usb.setup.wLength|usb.data_fragment|usbhid.data|usb.capdata
111|2026-09-02T22:46:37.612584000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202020202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
112|2026-09-02T22:46:37.612799000-0400|2.10.2|host|0x01|0x02|0||||||||
113|2026-09-02T22:46:37.615484000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
114|2026-09-02T22:46:37.615489000-0400|host|2.10.2|0x01|0x82|0||||||||
115|2026-09-02T22:46:37.752926000-0400|host|2.10.2|0x01|0x02|65|||||||ec51210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
116|2026-09-02T22:46:37.753115000-0400|2.10.2|host|0x01|0x02|0||||||||
117|2026-09-02T22:46:37.753740000-0400|2.10.2|host|0x01|0x82|65|||||||ec51000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
118|2026-09-02T22:46:37.753744000-0400|host|2.10.2|0x01|0x82|0||||||||
119|2026-09-02T22:46:42.861266000-0400|host|2.10.2|0x01|0x02|65|||||||ec528202020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
120|2026-09-02T22:46:42.861460000-0400|2.10.2|host|0x01|0x02|0||||||||
121|2026-09-02T22:46:42.861781000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
122|2026-09-02T22:46:42.861786000-0400|host|2.10.2|0x01|0x82|0||||||||
123|2026-09-02T22:46:42.997429000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
124|2026-09-02T22:46:42.997605000-0400|2.10.2|host|0x01|0x02|0||||||||
125|2026-09-02T22:46:42.997840000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
126|2026-09-02T22:46:42.997844000-0400|host|2.10.2|0x01|0x82|0||||||||
127|2026-09-02T22:46:43.044559000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202000202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
128|2026-09-02T22:46:43.044722000-0400|2.10.2|host|0x01|0x02|0||||||||
129|2026-09-02T22:46:43.048091000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
130|2026-09-02T22:46:43.048095000-0400|host|2.10.2|0x01|0x82|0||||||||
131|2026-09-02T22:46:48.281422000-0400|host|2.10.2|0x01|0x02|65|||||||ec528200020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
132|2026-09-02T22:46:48.281697000-0400|2.10.2|host|0x01|0x02|0||||||||
133|2026-09-02T22:46:48.281943000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
134|2026-09-02T22:46:48.281947000-0400|host|2.10.2|0x01|0x82|0||||||||
135|2026-09-02T22:46:48.416859000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
136|2026-09-02T22:46:48.417078000-0400|2.10.2|host|0x01|0x02|0||||||||
137|2026-09-02T22:46:48.417321000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
138|2026-09-02T22:46:48.417325000-0400|host|2.10.2|0x01|0x82|0||||||||
139|2026-09-02T22:46:48.464621000-0400|host|2.10.2|0x01|0x02|65|||||||ec530143505520566f6c742e000000000000000000312e313238e2868a000000000000000000000000000000000000000000000000000000000000000000000000|
140|2026-09-02T22:46:48.464829000-0400|2.10.2|host|0x01|0x02|0||||||||
141|2026-09-02T22:46:48.465075000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
142|2026-09-02T22:46:48.465078000-0400|host|2.10.2|0x01|0x82|0||||||||
143|2026-09-02T22:46:48.511069000-0400|host|2.10.2|0x01|0x02|65|||||||ec53024350552046616e2053706565640000000000373133e2868c0000000000000000000000000000000000000000000000000000000000000000000000000000|
144|2026-09-02T22:46:48.511326000-0400|2.10.2|host|0x01|0x02|0||||||||
145|2026-09-02T22:46:48.511577000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
146|2026-09-02T22:46:48.511580000-0400|host|2.10.2|0x01|0x82|0||||||||
147|2026-09-02T22:46:48.557256000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202020202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
148|2026-09-02T22:46:48.557455000-0400|2.10.2|host|0x01|0x02|0||||||||
149|2026-09-02T22:46:48.561078000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
150|2026-09-02T22:46:48.561080000-0400|host|2.10.2|0x01|0x82|0||||||||
151|2026-09-02T22:46:53.782408000-0400|host|2.10.2|0x01|0x02|65|||||||ec528202020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
152|2026-09-02T22:46:53.782561000-0400|2.10.2|host|0x01|0x02|0||||||||
153|2026-09-02T22:46:53.782802000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
154|2026-09-02T22:46:53.782806000-0400|host|2.10.2|0x01|0x82|0||||||||
155|2026-09-02T22:46:53.927532000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
156|2026-09-02T22:46:53.927811000-0400|2.10.2|host|0x01|0x02|0||||||||
157|2026-09-02T22:46:53.928061000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
158|2026-09-02T22:46:53.928064000-0400|host|2.10.2|0x01|0x82|0||||||||
159|2026-09-02T22:46:53.973641000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202000202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
160|2026-09-02T22:46:53.973814000-0400|2.10.2|host|0x01|0x02|0||||||||
161|2026-09-02T22:46:53.974062000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
162|2026-09-02T22:46:53.974065000-0400|host|2.10.2|0x01|0x82|0||||||||
163|2026-09-02T22:46:59.431326000-0400|host|2.10.2|0x01|0x02|65|||||||ec528200020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
164|2026-09-02T22:46:59.431548000-0400|2.10.2|host|0x01|0x02|0||||||||
165|2026-09-02T22:46:59.431798000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
166|2026-09-02T22:46:59.431802000-0400|host|2.10.2|0x01|0x82|0||||||||
167|2026-09-02T22:46:59.567162000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
168|2026-09-02T22:46:59.567427000-0400|2.10.2|host|0x01|0x02|0||||||||
169|2026-09-02T22:46:59.570053000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
170|2026-09-02T22:46:59.570057000-0400|host|2.10.2|0x01|0x82|0||||||||
171|2026-09-02T22:46:59.613998000-0400|host|2.10.2|0x01|0x02|65|||||||ec530143505520566f6c742e000000000000000000312e313337e2868a000000000000000000000000000000000000000000000000000000000000000000000000|
172|2026-09-02T22:46:59.614180000-0400|2.10.2|host|0x01|0x02|0||||||||
173|2026-09-02T22:46:59.614428000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
174|2026-09-02T22:46:59.614432000-0400|host|2.10.2|0x01|0x82|0||||||||
175|2026-09-02T22:46:59.660849000-0400|host|2.10.2|0x01|0x02|65|||||||ec53024350552046616e2053706565640000000000373137e2868c0000000000000000000000000000000000000000000000000000000000000000000000000000|
176|2026-09-02T22:46:59.661058000-0400|2.10.2|host|0x01|0x02|0||||||||
177|2026-09-02T22:46:59.661306000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
178|2026-09-02T22:46:59.661309000-0400|host|2.10.2|0x01|0x82|0||||||||
179|2026-09-02T22:46:59.707522000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202020202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
180|2026-09-02T22:46:59.707687000-0400|2.10.2|host|0x01|0x02|0||||||||
181|2026-09-02T22:46:59.707935000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
182|2026-09-02T22:46:59.707939000-0400|host|2.10.2|0x01|0x82|0||||||||
183|2026-09-02T22:47:05.150934000-0400|host|2.10.2|0x01|0x02|65|||||||ec528202020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
184|2026-09-02T22:47:05.151168000-0400|2.10.2|host|0x01|0x02|0||||||||
185|2026-09-02T22:47:05.151417000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
186|2026-09-02T22:47:05.151422000-0400|host|2.10.2|0x01|0x82|0||||||||
187|2026-09-02T22:47:05.290059000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
188|2026-09-02T22:47:05.290300000-0400|2.10.2|host|0x01|0x02|0||||||||
189|2026-09-02T22:47:05.290561000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
190|2026-09-02T22:47:05.290563000-0400|host|2.10.2|0x01|0x82|0||||||||
191|2026-09-02T22:47:05.336874000-0400|host|2.10.2|0x01|0x02|65|||||||ec5202000202000000ffffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000|
192|2026-09-02T22:47:05.337051000-0400|2.10.2|host|0x01|0x02|0||||||||
193|2026-09-02T22:47:05.337298000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
194|2026-09-02T22:47:05.337302000-0400|host|2.10.2|0x01|0x82|0||||||||
195|2026-09-02T22:47:10.818719000-0400|host|2.10.2|0x01|0x02|65|||||||ec528200020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
196|2026-09-02T22:47:10.818914000-0400|2.10.2|host|0x01|0x02|0||||||||
197|2026-09-02T22:47:10.819163000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
198|2026-09-02T22:47:10.819169000-0400|host|2.10.2|0x01|0x82|0||||||||
199|2026-09-02T22:47:10.955021000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034352e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
200|2026-09-02T22:47:10.955294000-0400|2.10.2|host|0x01|0x02|0||||||||
201|2026-09-02T22:47:10.955542000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
